timestamp_utc,glucose_mmol_l,glucose_neural,neural_valid,heart_rate_bpm,hrv_rmssd,is_outdoor,temperature_c,aqi,event_type,sensitivity_mult,meal_carbs,insulin_units
2026-04-24T04:00:00+00:00,6.489,6.489,0,67,47.62,0,14.1,44.4,ROUTINE,1.055,0.0,0
2026-04-24T04:05:00+00:00,6.808,6.808,0,67,47.58,0,14.4,51.4,ROUTINE,1.062,0.0,0
2026-04-24T04:10:00+00:00,6.786,6.786,0,67,47.55,0,14.8,50.5,ROUTINE,1.061,0.0,0
2026-04-24T04:15:00+00:00,6.728,6.728,0,67,47.49,0,13.2,50.3,ROUTINE,1.061,0.0,0
2026-04-24T04:20:00+00:00,6.873,6.873,0,67,47.36,0,13.9,48.9,ROUTINE,1.06,0.0,0
2026-04-24T04:25:00+00:00,6.861,6.861,0,67,47.36,0,15.2,48.2,ROUTINE,1.06,0.0,0
2026-04-24T04:30:00+00:00,7.03,7.03,0,67,47.54,0,14.8,49.4,ROUTINE,1.061,0.0,0
2026-04-24T04:35:00+00:00,6.871,6.871,0,67,47.74,0,14.8,44.7,ROUTINE,1.057,0.0,0
2026-04-24T04:40:00+00:00,6.834,6.834,0,67,47.62,0,16.9,43.6,ROUTINE,1.057,0.0,0
2026-04-24T04:45:00+00:00,6.98,6.98,0,67,47.97,0,14.2,56.2,ROUTINE,1.069,0.0,0
2026-04-24T04:50:00+00:00,7.056,7.056,0,67,47.75,0,16.3,51.5,ROUTINE,1.065,0.0,0
2026-04-24T04:55:00+00:00,6.962,6.962,0,67,47.28,0,15.6,50.3,ROUTINE,1.064,0.0,0
2026-04-24T05:00:00+00:00,7.103,7.103,0,66,48.83,0,16.4,54.4,ROUTINE,1.069,0.0,0
2026-04-24T05:05:00+00:00,7.135,7.135,0,66,48.61,0,18.3,50.8,ROUTINE,1.066,0.0,0
2026-04-24T05:10:00+00:00,7.236,7.236,0,66,48.98,0,15.6,47.2,ROUTINE,1.063,0.0,0
2026-04-24T05:15:00+00:00,7.145,7.145,0,67,47.86,0,17.2,52.8,ROUTINE,1.069,0.0,0
2026-04-24T05:20:00+00:00,7.175,7.175,0,67,48.07,0,14.7,51.8,ROUTINE,1.068,0.0,0
2026-04-24T05:25:00+00:00,7.089,7.089,0,66,49.06,0,17.4,56.0,ROUTINE,1.073,0.0,0
2026-04-24T05:30:00+00:00,7.089,7.089,0,66,49.65,0,16.5,52.9,ROUTINE,1.071,0.0,0
2026-04-24T05:35:00+00:00,7.281,7.281,0,68,47.54,0,18.3,53.9,ROUTINE,1.072,0.0,0
2026-04-24T05:40:00+00:00,7.286,7.286,0,68,47.04,0,16.8,63.2,ROUTINE,1.082,0.0,0
2026-04-24T05:45:00+00:00,7.185,7.185,0,67,48.01,0,17.2,49.5,ROUTINE,1.069,0.0,0
2026-04-24T05:50:00+00:00,7.133,7.133,0,66,49.73,0,18.2,48.1,ROUTINE,1.069,0.0,0
2026-04-24T05:55:00+00:00,7.004,7.004,0,67,48.12,0,18.0,59.0,ROUTINE,1.08,0.0,0
