timestamp,glucose,true_bg,pm2_5,temp,env_resistance,predicted_30m
2026-04-09T00:21:08+00:00,7.34,7.4958,45.0,24.5,1.05,
2026-04-09T03:21:08+00:00,7.62,7.4917,50.0,25.0,1.06,
2026-04-09T06:21:08+00:00,7.28,7.4875,55.0,25.5,1.07,
2026-04-09T09:21:08+00:00,7.69,7.4833,60.0,26.0,1.08,
2026-04-09T12:21:08+00:00,7.76,7.4792,65.0,26.5,1.09,
2026-04-09T15:21:08+00:00,7.56,7.475,45.0,27.0,1.05,
2026-04-09T18:21:08+00:00,7.73,7.4708,50.0,27.5,1.06,
2026-04-09T21:21:08+00:00,7.37,7.4667,55.0,28.0,1.07,
2026-04-10T00:21:08+00:00,7.41,7.4625,60.0,24.5,1.08,
2026-04-10T03:21:08+00:00,7.21,7.4583,65.0,25.0,1.09,
2026-04-10T06:21:08+00:00,7.37,7.4542,45.0,25.5,1.05,
2026-04-10T09:21:08+00:00,7.3,7.45,50.0,26.0,1.06,
2026-04-10T12:21:08+00:00,7.36,7.4458,55.0,26.5,1.07,
2026-04-10T15:21:08+00:00,7.26,7.4417,60.0,27.0,1.08,
2026-04-10T18:21:08+00:00,7.43,7.4375,65.0,27.5,1.09,
2026-04-10T21:21:08+00:00,6.86,7.4333,45.0,28.0,1.05,
2026-04-11T00:21:08+00:00,7.23,7.4292,50.0,24.5,1.06,
2026-04-11T03:21:08+00:00,6.7,7.425,55.0,25.0,1.07,
2026-04-11T06:21:08+00:00,7.05,7.4208,60.0,25.5,1.08,
2026-04-11T09:21:08+00:00,7.43,7.4167,65.0,26.0,1.09,
2026-04-11T12:21:08+00:00,7.2,7.4125,45.0,26.5,1.05,
2026-04-11T15:21:08+00:00,7.69,7.4083,50.0,27.0,1.06,
2026-04-11T18:21:08+00:00,7.4,7.4042,55.0,27.5,1.07,
2026-04-11T21:21:08+00:00,7.21,7.4,60.0,28.0,1.08,
2026-04-12T00:21:08+00:00,7.24,7.3958,65.0,24.5,1.09,7.24
2026-04-12T03:21:08+00:00,6.99,7.3917,45.0,25.0,1.05,6.99
2026-04-12T06:21:08+00:00,6.79,7.3875,50.0,25.5,1.06,6.79
2026-04-12T09:21:08+00:00,7.25,7.3833,55.0,26.0,1.07,7.25
2026-04-12T12:21:08+00:00,7.48,7.3792,60.0,26.5,1.08,7.48
2026-04-12T15:21:08+00:00,6.88,7.375,65.0,27.0,1.09,6.88
2026-04-12T18:21:08+00:00,7.04,7.3708,45.0,27.5,1.05,7.04
2026-04-12T21:21:08+00:00,7.58,7.3667,50.0,28.0,1.06,7.58
2026-04-13T00:21:08+00:00,7.61,7.3625,55.0,24.5,1.07,7.61
2026-04-13T03:21:08+00:00,7.85,7.3583,60.0,25.0,1.08,7.85
2026-04-13T06:21:08+00:00,7.98,7.3542,65.0,25.5,1.09,7.98
2026-04-13T09:21:08+00:00,7.63,7.35,45.0,26.0,1.05,7.63
2026-04-13T12:21:08+00:00,7.38,7.3458,50.0,26.5,1.06,7.38
2026-04-13T15:21:08+00:00,7.73,7.3417,55.0,27.0,1.07,7.73
2026-04-13T18:21:08+00:00,7.54,7.3375,60.0,27.5,1.08,7.54
2026-04-13T21:21:08+00:00,7.46,7.3333,65.0,28.0,1.09,7.46
