timestamp,glucose,true_bg,pm2_5,temp,env_resistance,predicted_30m
2026-04-08T00:00:00+00:00,7.28,7.4958,88.2,27.7,1.136,
2026-04-08T01:00:00+00:00,7.77,7.4917,84.5,26.7,1.129,
2026-04-08T02:00:00+00:00,7.5,7.4875,79.9,26.2,1.12,
2026-04-08T03:00:00+00:00,7.47,7.4833,75.9,25.9,1.112,
2026-04-08T04:00:00+00:00,7.27,7.4792,72.4,25.8,1.105,
2026-04-08T05:00:00+00:00,7.56,7.475,69.8,25.5,1.1,
2026-04-08T06:00:00+00:00,7.3,7.4708,67.8,25.1,1.096,
2026-04-08T07:00:00+00:00,7.0,7.4667,67.3,25.5,1.095,
2026-04-08T08:00:00+00:00,6.81,7.4625,68.2,26.8,1.096,
2026-04-08T09:00:00+00:00,7.08,7.4583,68.5,28.1,1.097,
2026-04-08T10:00:00+00:00,7.25,7.4542,72.2,29.5,1.104,
2026-04-08T11:00:00+00:00,7.5,7.45,76.1,30.9,1.126,
2026-04-08T12:00:00+00:00,7.76,7.4458,77.3,32.6,1.154,
2026-04-08T13:00:00+00:00,7.69,7.4417,77.1,34.1,1.176,
2026-04-08T14:00:00+00:00,7.04,8.6493,74.7,35.0,1.184,
2026-04-08T15:00:00+00:00,7.17,9.7005,70.5,35.5,1.184,
2026-04-08T16:00:00+00:00,8.45,10.496,64.5,35.1,1.166,
2026-04-08T17:00:00+00:00,9.65,10.8279,57.7,33.2,1.123,
2026-04-08T18:00:00+00:00,10.47,10.4315,50.3,31.9,1.089,
2026-04-08T19:00:00+00:00,11.15,9.2035,45.5,30.9,1.064,
2026-04-08T20:00:00+00:00,10.54,7.525,43.4,29.7,1.047,
2026-04-08T21:00:00+00:00,9.18,6.0328,42.4,28.6,1.045,
2026-04-08T22:00:00+00:00,7.63,4.9958,42.1,27.9,1.044,
2026-04-08T23:00:00+00:00,5.75,4.349,41.7,27.1,1.043,
2026-04-09T00:00:00+00:00,4.97,3.9484,40.9,26.5,1.042,4.97
2026-04-09T01:00:00+00:00,4.27,3.8173,41.1,25.9,1.042,4.27
2026-04-09T02:00:00+00:00,4.11,3.7271,41.1,25.4,1.042,4.11
2026-04-09T03:00:00+00:00,4.06,3.6616,40.3,25.0,1.041,4.06
2026-04-09T04:00:00+00:00,4.12,3.6126,39.0,24.8,1.038,4.12
2026-04-09T05:00:00+00:00,4.16,3.5765,38.4,24.6,1.037,4.16
2026-04-09T06:00:00+00:00,4.16,3.5516,39.3,24.4,1.039,4.16
2026-04-09T07:00:00+00:00,4.18,3.5365,41.0,25.1,1.042,4.18
2026-04-09T08:00:00+00:00,4.09,3.5296,41.9,26.7,1.044,4.09
2026-04-09T09:00:00+00:00,3.7,3.53,43.7,28.2,1.047,3.7
2026-04-09T10:00:00+00:00,3.19,3.5372,48.2,29.5,1.056,3.19
2026-04-09T11:00:00+00:00,3.36,3.5504,52.6,30.9,1.079,3.36
2026-04-09T12:00:00+00:00,3.25,3.5679,55.3,32.2,1.104,3.25
2026-04-09T13:00:00+00:00,3.65,3.5884,57.4,33.6,1.129,3.65
2026-04-09T14:00:00+00:00,3.9,4.8088,58.4,34.8,1.149,3.9
2026-04-09T15:00:00+00:00,3.9,5.883,57.7,35.5,1.158,3.9
2026-04-09T16:00:00+00:00,4.63,6.7105,56.8,35.5,1.156,4.63
2026-04-09T17:00:00+00:00,5.99,7.0846,58.1,34.1,1.138,5.99
2026-04-09T18:00:00+00:00,6.85,6.7013,55.6,32.2,1.104,6.85
2026-04-09T19:00:00+00:00,7.29,5.4225,51.7,30.4,1.069,7.29
2026-04-09T20:00:00+00:00,6.81,4.5534,49.1,29.1,1.058,6.81
2026-04-09T21:00:00+00:00,5.61,3.786,48.0,28.0,1.056,5.61
2026-04-09T22:00:00+00:00,4.98,3.263,47.3,27.2,1.055,4.98
2026-04-09T23:00:00+00:00,4.12,2.951,47.4,26.5,1.055,4.12
2026-04-10T00:00:00+00:00,3.74,2.7718,45.9,25.9,1.052,3.74
2026-04-10T01:00:00+00:00,3.17,2.6706,46.7,25.3,1.053,3.17
2026-04-10T02:00:00+00:00,3.01,2.6152,48.5,24.9,1.057,3.01
2026-04-10T03:00:00+00:00,2.94,2.5882,50.3,24.7,1.061,2.94
2026-04-10T04:00:00+00:00,2.88,2.5805,51.9,24.6,1.064,2.88
2026-04-10T05:00:00+00:00,2.77,2.587,54.0,24.5,1.068,2.77
2026-04-10T06:00:00+00:00,2.64,2.6049,56.9,24.3,1.074,2.64
2026-04-10T07:00:00+00:00,2.5,2.6318,61.7,25.0,1.083,2.5
2026-04-10T08:00:00+00:00,2.5,2.6662,63.1,26.4,1.086,2.5
2026-04-10T09:00:00+00:00,2.5,2.7072,63.6,27.8,1.087,2.5
2026-04-10T10:00:00+00:00,2.5,2.7528,68.0,29.3,1.096,2.5
2026-04-10T11:00:00+00:00,2.58,2.8006,71.2,30.8,1.114,2.58
2026-04-10T12:00:00+00:00,2.52,2.8473,71.2,32.7,1.143,2.52
2026-04-10T13:00:00+00:00,2.79,2.8933,64.3,34.8,1.161,2.79
2026-04-10T14:00:00+00:00,2.52,4.1771,55.1,35.9,1.159,2.52
2026-04-10T15:00:00+00:00,2.5,5.3062,50.4,36.5,1.158,2.5
2026-04-10T16:00:00+00:00,3.58,6.194,54.5,36.1,1.16,3.58
2026-04-10T17:00:00+00:00,5.34,6.6406,56.5,34.6,1.142,5.34
2026-04-10T18:00:00+00:00,6.36,6.3439,51.0,32.6,1.101,6.36
2026-04-10T19:00:00+00:00,6.47,5.1587,43.3,30.8,1.059,6.47
2026-04-10T20:00:00+00:00,5.64,4.332,40.5,29.5,1.041,5.64
2026-04-10T21:00:00+00:00,4.83,3.6092,40.2,28.4,1.04,4.83
2026-04-10T22:00:00+00:00,3.91,3.132,40.4,27.4,1.041,3.91
2026-04-10T23:00:00+00:00,3.35,2.8642,39.7,26.5,1.039,3.35
2026-04-11T00:00:00+00:00,2.96,2.7299,39.3,25.8,1.039,2.96
2026-04-11T01:00:00+00:00,2.65,2.6728,40.5,25.3,1.041,2.65
