timestamp,glucose,true_bg,twin_mean,twin_p95,twin_p5,twin_std,predicted_30m,target_30m
2026-04-08T00:00:00+00:00,6.91,7.4958,0.0,0.0,0.0,0.0,,7.4417
2026-04-08T00:02:30+00:00,6.78,7.4917,6.91,6.91,6.91,0.0,,7.4333
2026-04-08T00:05:00+00:00,6.78,7.4875,5.13,5.13,5.13,0.69,,7.4292
2026-04-08T00:07:30+00:00,7.35,7.4833,7.24,7.24,7.24,0.19,,7.425
2026-04-08T00:12:30+00:00,6.9,7.475,7.98,7.98,7.98,0.33,,7.4208
2026-04-08T00:15:00+00:00,6.56,7.4708,5.38,5.38,5.38,0.63,,7.4167
2026-04-08T00:17:30+00:00,6.99,7.4667,3.83,3.83,3.83,1.14,,7.4125
2026-04-08T00:20:00+00:00,7.19,7.4625,7.02,7.02,7.02,0.01,,7.4083
2026-04-08T00:22:30+00:00,7.6,7.4583,7.9,7.9,7.9,0.3,,7.4042
2026-04-08T00:25:00+00:00,7.12,7.4542,9.47,9.47,9.47,0.78,,7.4
2026-04-08T00:27:30+00:00,7.3,7.45,7.04,7.04,7.04,0.04,,7.3958
2026-04-08T00:30:00+00:00,7.18,7.4458,7.69,7.69,7.69,0.16,,7.3917
2026-04-08T00:32:30+00:00,7.25,7.4417,7.12,7.12,7.12,0.03,,7.3875
2026-04-08T00:37:30+00:00,6.93,7.4333,6.87,6.87,6.87,0.11,,7.3833
2026-04-08T00:40:00+00:00,7.21,7.4292,6.18,6.18,6.18,0.31,,7.3792
2026-04-08T00:42:30+00:00,7.37,7.425,7.31,7.31,7.31,0.04,,7.375
2026-04-08T00:45:00+00:00,7.77,7.4208,7.84,7.84,7.84,0.2,,7.3708
2026-04-08T00:47:30+00:00,7.78,7.4167,9.17,9.17,9.17,0.58,,7.3667
2026-04-08T00:50:00+00:00,7.76,7.4125,8.93,8.93,8.93,0.48,,7.3625
2026-04-08T00:52:30+00:00,7.85,7.4083,8.56,8.56,8.56,0.33,,7.3583
2026-04-08T00:55:00+00:00,7.92,7.4042,8.67,8.67,8.67,0.34,,7.3542
2026-04-08T00:57:30+00:00,8.0,7.4,8.68,8.68,8.68,0.32,,7.35
2026-04-08T01:00:00+00:00,8.1,7.3958,8.75,8.75,8.75,0.31,9.35,7.3458
2026-04-08T01:02:30+00:00,7.92,7.3917,8.84,8.84,8.84,0.31,7.65,7.3417
2026-04-08T01:05:00+00:00,7.85,7.3875,7.99,7.99,7.99,0.03,7.01,7.3375
2026-04-08T01:07:30+00:00,7.53,7.3833,7.64,7.64,7.64,0.09,4.95,7.3333
2026-04-08T01:10:00+00:00,7.16,7.3792,6.51,6.51,6.51,0.43,3.02,7.3292
2026-04-08T01:12:30+00:00,7.18,7.375,5.36,5.36,5.36,0.75,4.19,7.325
2026-04-08T01:15:00+00:00,6.86,7.3708,5.78,5.78,5.78,0.58,2.88,7.3208
2026-04-08T01:17:30+00:00,7.07,7.3667,4.96,4.96,4.96,0.79,5.47,7.3167
2026-04-08T01:20:00+00:00,7.18,7.3625,6.15,6.15,6.15,0.39,6.83,7.3125
2026-04-08T01:22:30+00:00,7.58,7.3583,6.8,6.8,6.8,0.16,9.86,7.3083
2026-04-08T01:25:00+00:00,7.83,7.3542,8.39,8.39,8.39,0.34,11.16,7.3042
2026-04-08T01:27:30+00:00,7.83,7.35,9.19,9.19,9.19,0.56,10.42,7.3
2026-04-08T01:30:00+00:00,7.84,7.3458,8.96,8.96,8.96,0.47,9.87,7.2958
2026-04-08T01:32:30+00:00,8.14,7.3417,8.79,8.79,8.79,0.39,11.25,7.2917
2026-04-08T01:35:00+00:00,7.86,7.3375,9.61,9.61,9.61,0.61,8.49,7.2875
2026-04-08T01:37:30+00:00,7.84,7.3333,8.29,8.29,8.29,0.18,8.07,7.2833
2026-04-08T01:40:00+00:00,8.05,7.3292,8.09,8.09,8.09,0.1,9.2,7.2792
2026-04-08T01:42:30+00:00,7.68,7.325,8.69,8.69,8.69,0.27,6.33,7.275
2026-04-08T01:45:00+00:00,7.31,7.3208,7.23,7.23,7.23,0.19,4.03,7.2708
2026-04-08T01:47:30+00:00,7.09,7.3167,5.95,5.95,5.95,0.57,3.28,7.2625
2026-04-08T01:50:00+00:00,6.7,7.3125,5.4,5.4,5.4,0.7,2.2,7.2583
2026-04-08T01:52:30+00:00,6.41,7.3083,4.38,4.38,4.38,0.97,2.2,7.2542
2026-04-08T01:55:00+00:00,6.41,7.3042,3.88,3.88,3.88,1.06,2.68,7.25
2026-04-08T01:57:30+00:00,6.74,7.3,4.44,4.44,4.44,0.82,6.19,7.2458
2026-04-08T02:00:00+00:00,7.12,7.2958,6.13,6.13,6.13,0.25,9.3,7.2417
2026-04-08T02:02:30+00:00,7.42,7.2917,7.76,7.76,7.76,0.27,11.07,7.2375
2026-04-08T02:05:00+00:00,8.01,7.2875,8.81,8.81,8.81,0.58,14.1,7.2333
2026-04-08T02:07:30+00:00,8.03,7.2833,10.69,10.69,10.69,1.12,12.76,7.2292
2026-04-08T02:10:00+00:00,8.01,7.2792,10.27,10.27,10.27,0.93,11.49,7.225
2026-04-08T02:12:30+00:00,7.88,7.275,9.74,9.74,9.74,0.72,9.55,7.2208
2026-04-08T02:15:00+00:00,7.69,7.2708,8.87,8.87,8.87,0.41,7.55,7.2167
2026-04-08T02:20:00+00:00,7.46,7.2625,7.05,7.05,7.05,0.18,5.92,7.2125
2026-04-08T02:22:30+00:00,7.4,7.2583,6.92,6.92,6.92,0.22,5.76,7.2083
2026-04-08T02:25:00+00:00,7.13,7.2542,6.76,6.76,6.76,0.27,4.29,7.2042
2026-04-08T02:27:30+00:00,7.43,7.25,5.91,5.91,5.91,0.51,6.96,7.2
2026-04-08T02:30:00+00:00,7.63,7.2458,7.18,7.18,7.18,0.1,8.51,7.1958
2026-04-08T02:32:30+00:00,7.81,7.2417,7.98,7.98,7.98,0.14,9.51,7.1917
2026-04-08T02:35:00+00:00,7.57,7.2375,8.54,8.54,8.54,0.31,7.48,7.1875
2026-04-08T02:37:30+00:00,7.51,7.2333,7.56,7.56,7.56,0.0,7.06,7.1833
2026-04-08T02:40:00+00:00,7.17,7.2292,7.33,7.33,7.33,0.07,4.93,7.1792
2026-04-08T02:42:30+00:00,7.19,7.225,6.18,6.18,6.18,0.41,5.62,7.175
2026-04-08T02:45:00+00:00,7.17,7.2208,6.44,6.44,6.44,0.31,5.95,7.1708
2026-04-08T02:47:30+00:00,6.99,7.2167,6.55,6.55,6.55,0.26,5.17,7.1667
2026-04-08T02:50:00+00:00,6.97,7.2125,6.08,6.08,6.08,0.38,5.57,7.1625
2026-04-08T02:52:30+00:00,7.05,7.2083,6.21,6.21,6.21,0.31,6.62,7.1583
2026-04-08T02:55:00+00:00,6.88,7.2042,6.71,6.71,6.71,0.14,5.77,7.1542
2026-04-08T02:57:30+00:00,6.79,7.2,6.25,6.25,6.25,0.26,5.6,7.15
2026-04-08T03:00:00+00:00,6.42,7.1958,6.12,6.12,6.12,0.28,3.58,7.1458
2026-04-08T03:02:30+00:00,5.85,7.1917,5.0,5.0,5.0,0.59,2.2,7.1417
2026-04-08T03:05:00+00:00,5.87,7.1875,3.36,3.36,3.36,1.04,2.37,7.1375
2026-04-08T03:07:30+00:00,5.93,7.1833,4.02,4.02,4.02,0.77,3.99,7.1333
2026-04-08T03:10:00+00:00,6.27,7.1792,4.72,4.72,4.72,0.5,7.16,7.1292
2026-04-08T03:12:30+00:00,6.81,7.175,6.31,6.31,6.31,0.02,10.92,7.125
2026-04-08T03:15:00+00:00,6.88,7.1708,8.35,8.35,8.35,0.64,10.64,7.1208
2026-04-08T03:17:30+00:00,6.89,7.1667,8.41,8.41,8.41,0.64,9.9,7.1167
2026-04-08T03:20:00+00:00,6.62,7.1625,8.2,8.2,8.2,0.54,7.3,7.1125
2026-04-08T03:22:30+00:00,6.77,7.1583,6.97,6.97,6.97,0.15,8.07,7.1083
2026-04-08T03:25:00+00:00,7.08,7.1542,7.41,7.41,7.41,0.27,9.75,7.1042
2026-04-08T03:27:30+00:00,7.35,7.15,8.35,8.35,8.35,0.53,10.78,7.1
2026-04-08T03:30:00+00:00,7.7,7.1458,9.01,9.01,9.01,0.69,11.91,7.0958
2026-04-08T03:32:30+00:00,7.82,7.1417,9.85,9.85,9.85,0.89,11.54,7.0917
2026-04-08T03:35:00+00:00,7.5,7.1375,9.76,9.76,9.76,0.81,8.12,7.0875
2026-04-08T03:37:30+00:00,7.2,7.1333,8.12,8.12,8.12,0.26,5.57,7.0833
2026-04-08T03:40:00+00:00,6.77,7.1292,6.79,6.79,6.79,0.17,2.78,7.0792
2026-04-08T03:42:30+00:00,6.58,7.125,5.22,5.22,5.22,0.64,2.33,7.075
2026-04-08T03:45:00+00:00,6.44,7.1208,4.79,4.79,4.79,0.74,2.36,7.0708
2026-04-08T03:47:30+00:00,6.62,7.1167,4.6,4.6,4.6,0.76,4.63,7.0667
2026-04-08T03:50:00+00:00,6.82,7.1125,5.61,5.61,5.61,0.42,6.62,7.0625
2026-04-08T03:52:30+00:00,7.23,7.1083,6.58,6.58,6.58,0.1,9.6,7.0583
2026-04-08T03:55:00+00:00,7.58,7.1042,8.14,8.14,8.14,0.38,11.45,7.0542
2026-04-08T03:57:30+00:00,7.7,7.1,9.23,9.23,9.23,0.69,11.36,7.05
